gtkmm-4.0 4.20.0-1.2
gtksourceview4 4.8.4-2.1
gts 0.7.6.121130-5.1
guile 3.0.11-1.1
gupnp 1:1.6.9-1.1
gupnp-dlna 0.12.0-4.1
gupnp-igd 1.6.0-2.1
gvfs 1.58.0-2
gzip 1.14-2
harfbuzz 12.3.2-1.1
harfbuzz-icu 12.3.2-1.1
haveged 1.9.19-1.1
hdparm 9.65-3.1
heroic-games-launcher-bin 2.19.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.3.0-1.1
hsa-rocr 7.1.1-2.1
hunspell 1.7.2-2.3
hwdata 0.403-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2.1
hwloc 2.12.2-1.1
hyphen 2.8.8-6.2
i2c-tools 4.4-4.1
iana-etc 20251215-1
icu 78.2-1.1
ijs 0.35-6.1
imagemagick 7.1.2.13-1.1
imath 3.2.2-3.1
imlib2 1.12.6-1.1
inetutils 2.7-2.1
iniparser 4.2.6-2.1
inotify-tools 4.25.9.0-1.1
inxi 3.3.40.1-1
iproute2 6.18.0-1.1
iptables-nft 1:1.8.11-2.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.10-1.1
jack2 1.9.22-1.1
jansson 2.15.0-1.1
jasper 4.2.8-1.1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jdk-openjdk 25.0.2.u10-2
jemalloc 1:5.3.0-5.1
jfsutils 1.1.15-9.1
jq 1.8.1-1.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
karchive 6.22.0-1.1
kbd 2.9.0-1.1
kbookmarks 6.22.0-1.1
kcodecs 6.22.0-1.1
kcolorscheme 6.22.0-1.1
kcompletion 6.22.0-1.1
kconfig 6.22.0-1.1
kconfigwidgets 6.22.0-1.1
kcoreaddons 6.22.0-1.1
kcrash 6.22.0-1.1
kdbusaddons 6.22.0-1.1
keyutils 1.6.3-3.1
kfilemetadata 6.22.0-1.1
kglobalaccel 6.22.0-1.1
kguiaddons 6.22.1-1.1
ki18n 6.22.0-1.1
kiconthemes 6.22.0-1.1
kio 6.22.1-1.1
kirigami 6.22.0-1.1
kitemviews 6.22.0-1.1
kjobwidgets 6.22.0-1.1
kmod 34.2-1
knotifications 6.22.0-1.1
kparts 6.22.0-1.1
kpty 6.22.0-1.1
krb5 1.21.3-2.1
kservice 6.22.0-1.1
kvantum 1.1.5-1.1
kvantum-theme-nordic-git 2.2.0.r71.gff8165c-1
kwallet 6.22.0-1.1
kwidgetsaddons 6.22.0-1.1
kwindowsystem 6.22.0-1.1
kxmlgui 6.22.0-1.1
l-smash 2.14.5-4.1
lame 3.100-6.1
lapack 3.12.1-2.1
layer-shell-qt 6.5.5-2.1
lazygit 0.58.1-1.1
lcms2 2.18-1.1
ldb 2:4.23.5-1.1
leancrypto 1.6.0-1.1
less 1:691-1.1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.58.3-1
lib32-attr 2.5.2-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-clang 21.1.6-1
lib32-colord 1.4.8-1
lib32-curl 8.18.0-4
lib32-dbus 1.16.2-1
lib32-dbus-glib 0.114-1
lib32-duktape 2.7.0-7
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.3-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freeglut 3.8.0-1.1
lib32-freetype2 2.14.1-1
lib32-fribidi 1.0.16-2
lib32-gamemode 1.8.2-1
lib32-gcc-libs 15.2.1+r447+g6a64f6c3ebb8-2
lib32-gdk-pixbuf2 2.44.4-1
lib32-gettext 0.26-1
lib32-giflib 5.2.2-1
lib32-glew 2.3.0-2
lib32-glib-networking 1:2.80.1-1
lib32-glib2 2.86.3-1
lib32-glibc 2.42+r51+gcbf39c26b258-3
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.11-1
lib32-gst-plugins-base-libs 1.26.10-1
lib32-gstreamer 1.26.10-1
lib32-gtk3 1:3.24.51-1
